reply_id,reply_status_id,reply_member_id,reply_date,reply_content
1,2,35,1324554161,Try living in Indiana.
2,2,132,1328301526,Try living in Finland. -25 celsius and strong wind. Augh yeah.
3,23,143,1330034455,"Omg, blocked."
5,27,164,1332465964,Yeah it&#39;s so annoying dealing with poorly designed web 1.0 stuff. I just got done browsing through AlternateHistory.com for sources and stuff and so many of the links were malformed or took forever to load because of the &#39;03-04 era tech.
6,26,191,1333131553,And I&#39;m a country girl
7,29,132,1333328200,*hmm...slavsicles...*
8,29,130,1333757777,lolgenocide
9,29,130,1333758050,I didn&#39;t even know you could comment on these.
10,26,84,1335455835,I thank God for that too&#33; ;)
11,49,246,1338862771,"I prefer the &quot;counter-revolution&quot;, but perhaps that&#39;s splitting hairs?"
12,62,246,1339245672,"Who do you think is more to blame? SoG, NSP, or FascCap?"
13,62,130,1339368039,"NSP is at least ideologically serious.<br />FC is a running joke, so I&#39;d expect him to do that.<br />I&#39;d blame SoG and his autism for that shitnado."
14,68,279,1340505368,An extra coffee never hurts.
15,71,279,1340505390,"I bid you welcome, brother."
16,76,164,1340702664,"Yeah, it&#39;s getting to be pretty gross."
17,49,279,1340758425,Traditional(ist) Socialism/Distributism?
18,49,7,1341134978,Liberals academics like Anthony King/ Fareed Zakaria/ Robert A. Dahl/ Douglas Holmes/etc  use the term &#39;counter-enlightenment&#39;
19,76,279,1341199242,We could easily get rid of new ones by making a mandatory questionnaire when a person registers and manual approval by the staff for account activation.
20,76,164,1341482257,In theory that could work but it seems like that sort of hassle would drive away a lot of members too. Then again I don&#39;t want this place turning into SF-lite which it seems to be well on track to becoming.
21,76,279,1341484429,"Well, we must stop the hordes of invaders one way or another."
22,76,130,1341724679,"Well they&#39;re retards for the most part, they tend to leave when they see this forum operates at an 11th grade level at the minimum."
23,91,130,1341725031,The woman-hating is reaching epidemic levels
24,76,279,1341731822,True enough.
25,91,54,1341737769,"An unemployed man in his twenties wondering why he canâ€™t meet a kind intelligent girl as he wipes grease onto his pants and types a blog post about how American women are fat ugly feminist whores, with Redtube open in the adjacent tab"
26,99,130,1342117954,"No,  I&#39;m not serious."
27,99,130,1342117972,"About the nominate thing, not the JIDF thing."
28,99,130,1342117988,Cuz I&#39;m definitely JIDF. That&#39;s what I&#39;ve been told.
29,99,279,1342132778,JIDF detector active.
30,95,130,1342149478,No. Muh Empire.
31,95,279,1342202361,"Ist Ãœber Alles, Ja?"
32,95,67,1342202444,Muh Canadian mixed-blood nigger empire.
34,95,279,1342203379,"Nein, nein, nein. Muh Ãœber Reich."
35,95,67,1342203632,LOLOLOLOL you mean Turkish Reich.
36,95,279,1342203689,Since when am I a Turk?
37,95,67,1342203749,"Germany = Turkish Reich. You&#39;re from the States, ja?"
40,95,67,1342204056,European Caliphate.
41,95,279,1342204109,The day will come when the masses will revolt against the invaders.
39,95,279,1342203861,Europa and very glad of it. I would not be able to bear the level of degeneracy you come across in the U.S.A. 
42,95,67,1342204285,I&#39;m waiting eagerly for that moment.
43,95,279,1342204336,I will be sure to drink a fine German wine while the onslaught progresses.
44,95,67,1342204452,"Meh, Muslim blood by the bottle."
45,100,130,1342321747,Lynyrd Skynyrd
46,95,130,1342321853,Muh Eurocaliphate.
48,99,130,1342748539,FasCap totally got his idea from me. Totally.
49,99,279,1342748594,I truly wonder how old he is.
50,106,130,1343540314,Amen
51,106,67,1343541607,"I have never been this disappointed by my closest friend. God, after that they call me a pessimist."
52,2,67,1343580980,"Implying that Canada is not the most cold. I mean, we are a frozen wasteland, with polar bears and igloos."
53,108,67,1343749606,"United in struggle. Two people, one future. Just sayin&#39;."
54,115,67,1343970810,"That&#39;s quite an attitude you have, miss. You are a man for sure."
55,112,279,1343978139,Ich liebe der Totale Krieg.
56,116,279,1344033806,"Well, it could have been worse. Try to be less hostile or at least save your hatred and disgust for later and strike them mercilessly, yet justly when the time comes. ;)"
57,116,335,1344034062,"I hadn&#39;t actually realized I was breaking rules; I thought the person was here for the sake of trolling and nothing else, so, confronted."
58,118,335,1344034248,I contend I was right. 
59,116,279,1344084274,"She&#39;s a friend of some other members. Not my kind of member, but eh."
60,108,130,1344094638,;)
61,113,130,1344094710,I reckon
62,109,130,1344094735,Ditto<br />
63,129,7,1344272508,so?
64,129,336,1344272888,"So you are a pitiable, sickening human being if the best thing in life you have to live for and fight for is genocidal racism. "
65,131,67,1344273440,"I do have loved ones and that is why I&#39;m trying to build the best place for them to live peacefuly and happily, and that is also why I&#39;m joining the army. &quot;The good soldiers fights, not because he hates what is in front of him, but because he loves what is behind him.&quot; -G.K. Chesterton"
66,131,336,1344273557,"Then you should support respect for all nations; else, someone will justify their invasion and murder of Canadian people for their own selfish gain. You people are like Ayn Randists but for nations. "
67,129,7,1344273840,"&#39;if&#39; that is just your opinion. jesus said he who loses his life will find it, someone who doesn&#39;t believe in something more than his own human life is according to all science and sociology not human."
68,131,67,1344273947,"Why do you think I&#39;m joining the army? If another nation comes to harm my people, Â« I&#39;ll answer them with the mouth of my cannons Â» (Louis-Joseph de Montcalm). Like I said yesterday, having a good defense is the applied principle of &quot;YOU SHALL NOT PASS&quot;."
69,130,7,1344274007,"Thanks for the tip, but I doubt you sincerely have my best interests at heart. Your parents clearly don&#39;t love you otherwise they wouldn&#39;t let you browse all these websites without supervision. <br /><br />You act like a foetus, you failed to raise a personal army, you are retarded even by revleft standards. "
70,132,130,1344274111,"There&#39;s maybe 1 or 2 people on this forum that can be described as redneck hicks. And being Hispanic doesn&#39;t mean I&#39;m not White. Hispanic does not = mestizo. My family is originally from Spain. You&#39;re just full of assumptions, aren&#39;t you? I didn&#39;t understand the class warfare bit of your comment. I haven&#39;t seen that many rednecks that could be described as &#34;bosses&#34; of anything, aside from their trailers and meth labs. Bosses live in Wall Street and Los Ange..."
71,131,67,1344274172,"An error from my part, it is Louis de Buade not de Moncalm."
72,132,130,1344274272,"Bosses live in Wall Street and Los Angeles and Chicago, not in the Alabama backwoods. Unless you&#39;re one of those leftist retards that thinks conservative or religious = redneck. Then that wouldn&#39;t even merit a response."
73,133,336,1344275048,"I am Jewish. I&#39;m also Syrian, and I saw the thread &quot;SSNP&quot; hence I made an username in support of that party to give me something to pretend to support while I troll you guys. There are Arab Jews, you know. "
74,132,336,1344275107,"I see, so mestizos are inferior and deserve to be exploited and genocided, amirite?"
75,131,336,1344275141,"Nobody is going to attack Canada anytime soon. And you justified offense, not defense. IMperialism is not defense<br />"
76,130,336,1344275187,Whatever. Go suck Nick Griffin&#39;s dick. 
77,129,336,1344275220,"Believe in something better, then"
78,131,67,1344275635,"No indeed we can sleep well in matters of foreign affairs, but my point is that to counter our evil imperialism, little nations need to be able to defend themselves. Nature is composed of preys and predators, and preys must learn to grow to defend themselves from the predators or they will succomb to God&#39;s Iron Laws. It is the same thing in the Human realm. Imperialism is a wonderful incentive for small nations to unite themselves and to stand as real men, protecting what they love. Belie..."
79,131,336,1344279386,"Those small nations will never be able to stand up to the war machines. Also, I remember you saying you preferred a white Canada. How funny, considering First Nations are the &quot;real&quot; Canadians and you are the colonizer. What about First Nations?"
80,131,67,1344279574,"I see the Aboriginals as equal citiziens in Canada, even if in the current situation, they are treated as child by the federal governement which is only promoting their disgusting behavior of illegal tobacco and firework sellers."
81,131,67,1344279715,"I must go for an hour or two, but it will be my pleasure to answer your questions afterwards, if you have any concerning my way of thinking."
82,133,7,1344281988,"Your IP said you were from Houston Texas fuck nugget, and you didn&#39;t even bother to change it when you re-registered. miserable fail, which makes me think you are a stormtroll trying to discredit jews. You have lied repeatedly so prove you are a jew or GTFO. "
83,130,7,1344282052,A two week foetus. 
84,129,7,1344282210,"I believe in something that is real. Everything you are talking about is emotion, and you are clearly a young child yourself - I believe in fact, and apply fact without egoism. that is the difference between us."
85,133,7,1344282319,"Nigga please you avoided all talk of syria, and you dodged my questions on the SSNP. Flawless cover you got there agent zogberstien. "
86,133,336,1344285188,"I am from Texas. What, you think Jew = Israeli? There are Jews in America, dumbshit. And I am Syrian, but I&#39;m not in the SSNP, obviously I thought I made that clear."
87,133,336,1344285209,There are as many Jews in America as in Israel. You assume too much.
88,131,336,1344285239,What do you think about the shooter recently? Were those Sikhs evil people who deserved to be gunned down in cold blood?
89,129,336,1344285305,You don&#39;t have to be racist. You choose to be. You don&#39;t have to support genocide. You choose to.
90,131,67,1344285660,"I don&#39;t think they deserved it. I&#39;m not comfortable with random shootings against anyone, except if they deserve it. Yet, I understand the fact that a foreign religion implementing itself is not a good thing for the country, but I prefer deportation than violent ethnic cleansing."
91,131,336,1344287776,"Irrelevant. So you agree he is a murderer? And that, accordingly, people like him need to be executed? Because he deserves to be hanged."
92,131,67,1344287951,"Well yes, he is a murderer, he killed people. -_- It is the gallows or the work camp, but I favour the work camp - we always need some good labour that can be treated as slaves because they are criminals."
93,128,131,1344307597,"Not everyone on here is a genocidal racist, if anyone. Not everyone is a warmonger. Not everyone is a holocaust denier (FasCap). It is you and you scummy marxist crap that is ruining stuff. So when I say you are not welcome here you are not welcome here. Troll."
94,128,336,1344320253,"Fuck off. I believe in equality. You people are archaic dipshits. You want the world in a perpetual state of division. Like I said, you are unwelcome in the civilized world. "
99,133,336,1344333350,"First of all, idiot, America is not a &quot;white country&quot;. It&#39;s a nation of immigrants. It&#39;s not a nation proper like England is. Speaking of that, your kind are a disgrace to England and all that she stands for, and your own people shame you and want nothing to do with you. Huh. You&#39;re just a hateful piece of shit that has nothing better to believe in than ethnic cleansing. "
100,129,336,1344333422,"Nah, you can choose not to take your &quot;pride in race&quot; to the extreme of supporting ethnic cleansing. We are animals,to be sure, but we have a thing called logic and reason."
98,133,7,1344332414,"HHAHAHA, I knew I smellt bullshit. hurr durr I had a syrian grandparent, i must be syrian - i bet you don&#39;t know a word of arabic or have even been to Syria. You are like so many americans with an identity problem it isn&#39;t even funny - though this neuroticism is probably why you feel so insecure - and rightly, you shouldn&#39;t be in a white country, but keep trying to justify yourself and taking your own inadiquacies out on us. You are probably not even a jew either"
97,129,7,1344331817,"Actually it is not a matter of choice, shit is not relative. If you want to rape a child that is your perogative, but I would have a social duty to stop you. I have always been disgusted by arrogant and egocentric people like yourself. Pride in family, pride in nation, pride in race - I don&#39;t think I am above all that. "
101,133,336,1344333643,But the good thing is most people are not racist and have moved past your archaic shit way of looking at the world. Face the reality: your scum are dying out in the world. 
102,129,7,1344334630,"Sorry, that is wrong. if you have principles, you you love something, then you should be morally prepared to do whatever is necissary to defend them - that or you don&#39;t believe in anything. If you do have principles you accept the responsibilites. <br />"
103,129,7,1344334638,You probably don&#39;t  have values so you wouldn&#39;t know - &#39;I am an anti racist - but only when it is comfortable for me and I am on the internet&#39; - this is why people here have been enclined to laugh at you. 
104,133,7,1344334729,"Implying america wasn&#39;t founded on ethnic cleansing. I know your type, logic just doesn&#39;t wash with you, if you were british you would be claiming we were a multicultural country as well - our leaders used the same argument for the people who came here 2000 years ago, that makes us a nation of immigants as well apparantly. "
105,133,7,1344335105,"SSNP, the first thing you will learn is most people don&#39;t care, though they are inherrantly racial. only a small part of the population is good or evil - fascist and communist. right now liberals are in power like they were in weimar germany, and you wouldn&#39;t believe the filth that came out of that place they population just accepted it. The nazis were for 10 years a fringe group with 2% of the popular vote, yet look what happened when they took power. Look how communism crumbled, jus..."
106,133,7,1344335281,"just a few coupsters against a few loyalists with most people sitting back. Who is actually an anti-fascist; a few middle class students, some people in the media and governement, the people believing what you are told. Don&#39;t kid yourself, when the baloon goes up what liberal will actually fight tomorrow? that would be an absurd fight. "
107,128,131,1344346430,equality pfffffft. &quot;Semitic Supremacism&quot;.
109,133,336,1344381042,"America is still wholly different from England. There&#39;s no indigenous &quot;nation&quot; except the Native Americans, and you&#39;re right, they were genocided and people do feel sorry for that. You will never get people to agree and support ethnic cleansing. I 100% guarantee you of this. You&#39;re a shame and a disgrace to your own Britain. Hey, hopefully you get shot by a Muslim."
110,132,130,1344382131,"Mestizos are inferior. The fact that the middle and upper classes in Latin America are almost exclusively White in the absence of direct racism, like is seen in the Anglo world, practically proves this. That doesn&#39;t mean they are to be genocided though. But everyone to the right of Olbermann support genocide, amirite?"
111,128,130,1344382292,&gt;represents entire civilized world
112,133,7,1344384481,http://www.youtube.com/watch?v=faNge-o0V-k
113,133,336,1344395486,"Whatever, I still hope a black gay Muslim man with Jewish heritage shoots you in the face. "
114,132,336,1344406500,That analysis completely ignores the lingering effects of colonialism and economic inequality. 
115,128,336,1344406567,Go out and ask people if they support segregation and racism and I guarantee you the overwhelming answer will be &#39;no&#39;
116,133,7,1344426018,Gay muslim - good luck with that&#33; god you are a fucking embarassment; hurr durr WE R ANONYMOUS when your only reason for being here is being a butthurt little faggot. You will be the butt of jokes for weeks. 
117,133,336,1344452420,you&#39;re a threat to civilization. I am a supporter of the most brutal government suppression against your type
118,133,7,1344538220,"Yes, well if you are trying to save a man from drowning you have to be rough with him. The elimination of a few hundred thousand of our worst criminals and traitors would result in an increase in our strength and enormously benificial to the population. "
119,133,336,1344540031,Those criminals and traitors are your type
120,138,2,1344540526,"Everyone else is already responding/filling in - honestly the expert is Ben, he&#39;s the one who sent me those images."
121,138,336,1344540679,"Well, okay, but I responded to them and with evolutionary evidence."
122,133,7,1344551990,Prove I am either. 
123,133,336,1344559583,"You seek to kill people based on superficial characteristics they cannot control. That alone makes you a psychopath, and therefore a threat to the people."
124,139,336,1344566954,"On &#34;black&#34; and &#34;white&#34;. I&#39;ve been focused on Sub-Saharan Africa where I could easily point to Asians, Arabs, Jews, Indians, and others who do as well if not better than whites academically. <br />Furthermore, &#34;white&#34; is not a precise term. Russians are not as accomplished as Italians, for example (you will recall that Russia was a backwater until the Soviet Union). There is strong overlap between Greeks and Arabs and Jews. There is overlap between Morrocans and Spa..."
125,139,49,1344567603,"If you are serious start a thread with a real case; do what I asked, and do not break from that. You know exactly what I mean by a &#39;real case&#39; what you made here is a moral argument; you are asking me &#39;what&#39;s the point&#39; not proving the races are equal. There is a point and we have repeated it to you so it is a completely rhetorical question. You essentially do not even deny the existence of race and ethnicity anymore and changing the nature of the argument. That is because..."
126,140,293,1344569797,"ya u real srs brah, real srs. Like when you said our families deserve to be killed and raped by gangs of blacks."
127,140,336,1344570102,"If you dish it out you need to take it, and many of you do dish it out."
128,140,240,1344602765,"Right there, you just answered your own question with that post."
129,132,130,1344718163,"That excuse completely ignores that colonialism and economic equality are a result of racial difference (superiority) not the reason for it. They&#39;re poorer and weaker because they can&#39;t compete, because they&#39;re inferior."
130,143,279,1344719622,"Aye, aye."
131,143,161,1344746248,I just got off one. I spent the whole week wanting to argue politics. Not as good as expected; liberals are everywhere.
132,143,130,1344760377,As soon as I posted this I felt like delving into some of these topics. Inspiration is very fickle.
133,141,130,1344760584,"Yes, I train child soldiers. What Uganda do about it?"
135,141,342,1344899342,"We ended the war in Uganda because we had enough &quot;Likes&quot; on Facebook, amirite?"
136,141,130,1344915969,"I know for a fact that when I like a Kony status, bottles of clean water appear in poor African children&#39;s laps. So fuck you. I&#39;m a philanthropist. <br />"
137,133,7,1344955001,"So wait a psychopath is a criminal now? Not really - society still expects you to become a killer if you are drafted, or if you work for state execution, there are any number of sane legal occupations specialising in violence and liquidation. &#39;characteristics they cannot control&#39; that isn&#39;t true, you always have to choice to resist enemies of your nation and not collaberate, there are no excuses. <br /><br />I am not a threat to &#39;my&#39; people, which doesn&#39;t include immig..."
138,89,342,1345034023,I only hope.
237,693,35,1356935063,Aquilism <br /><br />nuff said
140,133,372,1345163322,This is so hilarious. The current &quot;Jews&quot; aren&#39;t even Jews. These pseudo-Jews were behind the evils of the slave trade of my people. 
141,133,372,1345224450,"Hey, why can&#39;t I post? I tried the tech support forum, but it won&#39;t let me post anything."
142,139,372,1345251125,Why can&#39;t I post on the forums?
171,222,281,1347501726,That&#39;s pretty much it in a nutshell
174,89,67,1348186701,And gentlemen pistol duels. Would be entertaining.
146,150,329,1345346460,Thankyou. My exile was only supposed to last for like an hourâ€” some kind of humor from Alexâ€” ended up lasting about a week and a halfâ€¦
151,153,372,1345424425,"I am influenced by Sayyid Qutb, but that does not mean I believe in everything he wrote. I reject his beliefs in offensive &quot;Jihad&quot;. I have even condemned violence against Christians on here. I agree with him regarding the notion of jahiliyyah equaling decadence and the notion of an Islamist vanguard party. But, I want this party to be more moderate in style. Hence, why I feel no need to persecute Catholics, Orthodox Christians, and pagans.<br /><br />"
153,153,372,1345424691,I know why you hate me. Solely for my rejection of the Zionist entity. You have an unhealthy obsession with defending the Jews. Look at all of your recent posts.<br />You even defend the kike who was making shit up. <br /><br />I know you don&#39;t care about the truth. You only care about seeming politically correct. 
154,153,130,1345427367,"Politically correct? You must not know me very well. My issue with you isn&#39;t that I&#39;m a Judeophile, because I&#39;m not. My issue with you is that you spew the same pre-recorded mentally retarded FIGHT ZOG bull shit without providing even a remotely impartial source (nobody ever does). If you can&#39;t debate a thing without either invoking Jews or calling your opponent a Jew, you clearly have a problem. I&#39;ll wait and see what your views on other things are before I &#34;hate you,..."
155,153,130,1345427433,But the idea of an anti-colonial black Muslim is thick with irony.
156,159,342,1345514754,Race War Now?
157,159,161,1345586007,"Race war always. If possible, also gas the kikes."
158,170,342,1346074096,No more gassing the kykes? ):
159,170,72,1346106139,No more race war? :&#39;(
160,170,130,1346112178,How can we have a neo-nazi forum with no Whites?
161,170,335,1346231902,"There&#39;s just too much bigoted racism up here, man. We need more pr0gressive fascism. "
162,159,130,1346296996,"gas the rich, class war now"
163,142,130,1346297024,Brilliant.
164,142,563,1346636532,"^seconded, absolutely true."
165,218,164,1346960955,There needs to be a &quot;like&quot; button for these things.
166,222,342,1347068645,"Never watched, give me the Nigga highlights."
167,222,130,1347249758,"-We&#39;re a rainbow nation.<br />-16 trillion personal anecdotes.<br />-I&#39;m the man. I&#39;m doing great things.<br />-Thanks to all these millionaire celebrities for being here. That means we&#39;re truly the peoples&#39; party.<br />-More anecdotes.<br />-Change.<br />-Fake humility, fake humility, certainty of victory.<br />-End speech. Stand around with nigresses to what seems like 15 minutes of nothing but applause and confetti.<br />-Cue celebrity commentators discussing the &#34;a..."
168,222,130,1347249807,...discussing the &quot;awesomeness and historical-ness of his speech&quot;
170,222,342,1347360393,Wonderful of course.
175,264,342,1348616770,"PURGE THE HERETIC, HE OFFENDS THE GOD KING."
176,264,335,1348724821,"My faith is my nation. If we&#39;re not willing to devote ourselves whole-heartedly to the nation, what represents our nation, and the people within - well then we shouldn&#39;t have the opportunity to call ourselves citizens of that nation. In any case - brilliant. <br /><br />Also hail Satan, 666."
177,264,161,1348938736,"&quot;For I could wish that myself were accursed from Christ for my brethren, my kinsmen according to the flesh&quot; --Romans 9:3"
178,268,72,1349127945,"Same feelings here. Were there any liberals in your class who got butthurt &quot;dem conservatives are conservatives, not libruls&#33;&#33;11&quot;?"
179,252,281,1349131179,"It&#39;s fine, I realized that a long time ago.  Just look forward to resurrecting greatness."
180,286,342,1349579152,"Jew Blood,Sweat, and Tears."
181,286,67,1349581878,On the altar of muh naaaaation&#33;
182,287,130,1349657923,"From Stormfront, huh? That explains the 88"
183,292,16,1350304072,Gasp.
185,277,130,1350516424,GLORIOUS
186,268,130,1350516453,"But conservativs is fascists, rite?"
187,277,279,1350516668,Lolol.
188,268,67,1350568470,Makes sense. Conservatives (in the Canadian context) are libertarians who have remnants of love of social order.
189,277,342,1350699222,&gt;Has Tramp Stamp<br />&gt;Preaches a return to traditional morality<br /><br />Makes sense.
191,299,342,1351130126,Only Anarchists have no morals.
192,342,342,1351984493,Back in ma day we had none of that there thongs er sex clothes.
193,344,342,1352505932,SCUM
194,315,1730,1352527567,I agree 100% sir&#33; 
195,352,72,1352561947,I&#39;ll speak in my language though. <br /><br />Kamusta mula sa Pilipinas. 
196,352,1772,1352696419,"And, apa khabar kitak? That what we say &quot;how are you&quot; in Sarawakian Malay."
197,359,13,1352719153,Not much
198,368,72,1352957672,ok. 
199,389,130,1353204999,Wouldn&#39;t it have to be in Sarawakian or whatever
200,368,1772,1353237969,http://www.facebook.com/NationalActivistsOfSarawak<br /><br />My new Facebook nationalist group page.
201,389,1772,1353238249,"For your information, I&#39;m thinking to make a pro-nationalist/regionist of my state, Sarawak. And yeah, there are some activist group who fought for a change of a new, better government but sadly most of them are pro-democracy coward, and some ignorant Islamist group. (while at the same time Muslims at my state are minority.)"
202,344,1772,1353241619,They should be send to Kashmir.
203,397,1772,1353306195,http://www.facebook.com/NationalActivistsOfSarawak?ref=hl
204,434,158,1353788971,Bok Van Blerk. Another good Afrikaans song is My Land by Karen Wessels. I don&#39;t like much Afrikaans music but those are great songs/singers. Robbie Wessels(not related to Karen) is an Afrikaans singer who is not good but it funny. You may want to check him out if you want a laugh.
207,521,7,1353937471,"I don&#39;t really like to use it, though I briefly got to like it  took what I could from there. I do check it and post material there in the hope it gets out. "
206,480,1744,1353801155,"&quot;White Man, let us stand together to secure the survival of your people and my people, for they are one and the same - they are our beloved, miraculous, wonderful, blessed and masterful white race&#33;&quot; - GLR"
208,491,2075,1354093602,"The Italians were happen they weren&#39;t completely wiped out by the Ethiopians, the Ethiopians were happy that they didn&#39;t have to waste time on a horrible army any longer."
209,604,298,1354295080,"Good luck, my friend. You can always claim asylum in Sweden. "
221,618,2099,1355245832,If they are not hating on Japanese and Koreans in their homeland and their culture. I see no irony here.
